Type,Summary,Day,Islanders
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,André Furtado
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,Molly Marsh
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,Zachariah Noble
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,Tyrique Hyde
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,Mitchel Taylor
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,Mehdi Edno
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,Jess Harding
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,Ella Thomas
Entrances,"On Day 1, André, Catherine, Ella, Jess, George, Mehdi, Mitchel, Molly, Ruchee, Tyrique and Zachariah entered the villa.",1,Catherine Agbaje
Entrances,"On Day 3, Whitney entered the villa.",3,Whitney Adebayo
Entrances,"On Day 4, Sammy entered the villa.",4,Sammy Root
Coupling,"On Day 1, following a public vote to decide the first couples of the series, André was paired with Catherine, George coupled up with Jess, Mehdi was chosen to be with Ruchee, Mitchel with Molly, and Tyrique was picked to couple up with Ella.",1,André Furtado
Coupling,"On Day 1, following a public vote to decide the first couples of the series, André was paired with Catherine, George coupled up with Jess, Mehdi was chosen to be with Ruchee, Mitchel with Molly, and Tyrique was picked to couple up with Ella.",1,Molly Marsh
Coupling,"On Day 1, following a public vote to decide the first couples of the series, André was paired with Catherine, George coupled up with Jess, Mehdi was chosen to be with Ruchee, Mitchel with Molly, and Tyrique was picked to couple up with Ella.",1,Tyrique Hyde
Coupling,"On Day 1, following a public vote to decide the first couples of the series, André was paired with Catherine, George coupled up with Jess, Mehdi was chosen to be with Ruchee, Mitchel with Molly, and Tyrique was picked to couple up with Ella.",1,Mitchel Taylor
Coupling,"On Day 1, following a public vote to decide the first couples of the series, André was paired with Catherine, George coupled up with Jess, Mehdi was chosen to be with Ruchee, Mitchel with Molly, and Tyrique was picked to couple up with Ella.",1,Mehdi Edno
Coupling,"On Day 1, following a public vote to decide the first couples of the series, André was paired with Catherine, George coupled up with Jess, Mehdi was chosen to be with Ruchee, Mitchel with Molly, and Tyrique was picked to couple up with Ella.",1,Jess Harding
Coupling,"On Day 1, following a public vote to decide the first couples of the series, André was paired with Catherine, George coupled up with Jess, Mehdi was chosen to be with Ruchee, Mitchel with Molly, and Tyrique was picked to couple up with Ella.",1,Ella Thomas
Coupling,"On Day 1, following a public vote to decide the first couples of the series, André was paired with Catherine, George coupled up with Jess, Mehdi was chosen to be with Ruchee, Mitchel with Molly, and Tyrique was picked to couple up with Ella.",1,Catherine Agbaje
Coupling,"On Day 2, Zachariah, who entered after the coupling, had to steal one girl for himself. He chose Catherine, leaving André single.",2,André Furtado
Coupling,"On Day 2, Zachariah, who entered after the coupling, had to steal one girl for himself. He chose Catherine, leaving André single.",2,Zachariah Noble
Coupling,"On Day 2, Zachariah, who entered after the coupling, had to steal one girl for himself. He chose Catherine, leaving André single.",2,Catherine Agbaje
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,André Furtado
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Molly Marsh
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Zachariah Noble
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Whitney Adebayo
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Tyrique Hyde
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Sammy Root
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Mitchel Taylor
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Mehdi Edno
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Jess Harding
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Ella Thomas
Coupling,"On Day 5, the islanders recoupled for the first time with the girls picking which boy they'd like to be with. Catherine and Zachariah, Ella and Tyrique, and Molly and Mitchel remained together, meanwhile Jess chose Sammy, Ruchee coupled up with André, and Whitney went with Mehdi. As George was the only boy not picked he was dumped from the island.",5,Catherine Agbaje
Challenges,"On Day 2, the girls and the boys competed against each other in ""Wary Tales"", in which they had to guess which islander a fact was about. To make their guess they had kiss the islander they believe is the answer.",2,
Dates,"On Day 2, after Zachariah chose to steal Catherine, they had a date on the terrace.",2,Zachariah Noble
Dates,"On Day 2, after Zachariah chose to steal Catherine, they had a date on the terrace.",2,Catherine Agbaje
Dates,"On Day 3, new islander Whitney had to pick an islander to take on a date. She chose André.",3,André Furtado
Dates,"On Day 3, new islander Whitney had to pick an islander to take on a date. She chose André.",3,Whitney Adebayo
Dates,"On Day 4, new islander Sammy had to choose three girls to take on a date in the hideaway. He chose Ella, Molly and Jess respectively.",4,Molly Marsh
Dates,"On Day 4, new islander Sammy had to choose three girls to take on a date in the hideaway. He chose Ella, Molly and Jess respectively.",4,Sammy Root
Dates,"On Day 4, new islander Sammy had to choose three girls to take on a date in the hideaway. He chose Ella, Molly and Jess respectively.",4,Jess Harding
Dates,"On Day 4, new islander Sammy had to choose three girls to take on a date in the hideaway. He chose Ella, Molly and Jess respectively.",4,Ella Thomas
Exits,"On Day 5, George was dumped from the island after failing to couple up.",5,
Entrances,"On Day 8, Charlotte and Leah entered the villa.",8,Charlotte Sumner
Entrances,"On Day 8, Charlotte and Leah entered the villa.",8,Leah Taylor
Entrances,"On Day 11, Scott entered the villa.",11,Scott van-der-Sluis
Coupling,"On Day 9, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Charlotte and Leah were given first choice. Charlotte picked Zachariah, whilst Leah coupled up with Tyrique. As well as this, Mehdi and Whitney, Mitchel and Molly, and Sammy and Jess remained together, meanwhile André chose Catherine. As Ella and Ruchee were not picked, they became single and vulnerable.",9,Charlotte Sumner
Coupling,"On Day 9, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Charlotte and Leah were given first choice. Charlotte picked Zachariah, whilst Leah coupled up with Tyrique. As well as this, Mehdi and Whitney, Mitchel and Molly, and Sammy and Jess remained together, meanwhile André chose Catherine. As Ella and Ruchee were not picked, they became single and vulnerable.",9,Leah Taylor
Coupling,"On Day 9, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Charlotte and Leah were given first choice. Charlotte picked Zachariah, whilst Leah coupled up with Tyrique. As well as this, Mehdi and Whitney, Mitchel and Molly, and Sammy and Jess remained together, meanwhile André chose Catherine. As Ella and Ruchee were not picked, they became single and vulnerable.",9,André Furtado
Coupling,"On Day 9, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Charlotte and Leah were given first choice. Charlotte picked Zachariah, whilst Leah coupled up with Tyrique. As well as this, Mehdi and Whitney, Mitchel and Molly, and Sammy and Jess remained together, meanwhile André chose Catherine. As Ella and Ruchee were not picked, they became single and vulnerable.",9,Molly Marsh
Coupling,"On Day 9, the islanders recoupled again with the boys picking which girl they'd like to be with. However, as new islanders, both Charlotte and Leah were given first choice. Charlotte picked Zachariah, whilst Leah coupled up with Tyrique. As well as this, Mehdi and Whitney, Mitchel and Molly, and Sammy and Jess remained together, meanwhile André chose Catherine. As Ella and Ruchee were not picked, they became single and vulnerable.",9,Zachariah Noble
